ID,AnimFile,AnimName,CodeName,Primary Subject,Shape/Form,Shiann's Motifs,Colours,Space,Verb(ing),Verb 2,Noun,Adjective 2,Adjective,State of being,State of being 2,Interjection,Noun 2,Phrase,Emotion,Affirming Phrase,BG colour,Text colour
33,EXTNCTN_FINAL.mp4,Extinction,anim33.mp4,Dismembered Body Parts,geometric,null,BW + 1,Balanced,surrendering,realized,teddy,gone,targeted,eventful,found,Gross.,egg,Salt and pepper.,targeted,Have fun.,#000000,#FFFFFF
34,OCNS_FINAL.mp4,Oceans,anim34.mp4,Location,geometric,slime,BW + 1,Balanced,drowning,swam,water,wet,deep,alive,filthy,Whoops.,ocean,Let's go swimming.,alone,All is forgiven.,#FFFFFF,#000000
35,MDCL_FINAL.mp4,Medical,anim35.mp4,Technology,geometric,machines,BW,Packed,scamming,charged,doctor,sketchy,highly-regarded,obligated,capable,Run!,machine,Your call is very important to us.,drained,Let go.,#FFFFFF,#000000
36,PLLTN_FINAL.mp4,Pollution,anim36.mp4,Destruction,fragmented ,null,BW + 1,Packed,warning,smoked,smog,unclear,loud,dreamy,falsely,Explain yourself.,cigarette,I cannot see.,doomed,Thank you.,#FFFFFF,#000000
37,CRRPT_FINAL.mp4,Corruption,anim37.mp4,Monsters,geometric,teeth,BW + 1,Packed,eating,swallowed,deer,corrupt,unhomely,corruptible,sick,Oof.,demon,Fxck fxck fxck.,shocked,I'm glad you're here.,#E44A24,#FFFFFF
38,DTH_FINAL.mp4,Death,anim38.mp4,Dismembered Body Parts,fragmented,slime,BW,Open,dying,frowned,cartoon,cold,quite fast,foul,permanent,Pop!,sticker,Crap get a bucket for it.,devastated,This will make sense.,#000000,#FFFFFF
39,ghostSpray copy.mp4,GhostSpray,anim39.mp4,Monsters,closed shape,null,BW,Open,escaping,spritzed,hairspray,dead,two-dimensional,hurt,harmless,Bang!,can,Now we didn't expect a ghost.,culpable,Deep breaths.,#FFFFFF,#000000
40,snakeSpray copy.mp4,SnakeSpray,anim38.mp4,Monsters,closed shape,null,BW,Open,slithering,left,reptile,scaley,jittery,profitable,sprouting,Pow!,product,Creepy crawlies.,uncomfortable,You still have time.,#FFFFFF,#000000
41,ConcernedPiggy_2 copy.mp4,ConcernedPiggyBank,anim38.mp4,Technology,closed shape,null,BW,Balanced,overthinking,saved,hog,shakey,wealthy,noted,studious,Zoom!,bank,Break the bank.,insecure,Everything works out.,#FFFFFF,#000000
42,ghostPop copy.mp4,GhostPopCan,anim38.mp4,Monsters,closed shape,eyes,BW,Balanced,haunting,fizzed,soda,tiny,sneaky,queasy,old,Terrible.,fizz,They're very endering.,haunted,You are exactly who you need to be.,#FFFFFF,#000000
43,cakePop copy.mp4,CakePop,anim38.mp4,Food,fluid,machines,BW,Packed,slicing,iced,dessert,sweet,pink,inked,timely,We're doomed.,cake,Get milk.,sugar-high,You will survive.,#FFFFFF,#000000
44,saturnMelt copy.mp4,SaturnMelting,anim38.mp4,Destruction,fluid,slime,BW,Open,liquefying,floated,planet,uncertain,distracting,in-your-face,on-hand,Feel things.,rock,Drip drip.,dissolved,:D,#FFFFFF,#000000
